AGE;GNDR;ADMIT;COLLEGE;STUDENT_MAJOR;DIPLOMA_DESCRIPTION;STUDENT_LEVEL;SCHOOL;SCHOOL_CITY;CITIZENSHIP
48;M;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;Bachelor of Education;Graduate;Ajman Univ of Science;AJMAN;Non Citizen
52;M;Fall 2010-2011;Arts, Humanities & Social Sci.;History & Islamic Civilization;Bachelor of Science;Graduate;University of South Carolina;;UAE-Dubai
24;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Translation;Bachelor;Graduate;UAE University;Al Ain;UAE-Ras Alkhaimah
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Translation;Bachelor;Graduate;UAE University;Al Ain;UAE-Ras Alkhaimah
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
27;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
24;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
26;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
27;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
36;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
28;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
26;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
31;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
23;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
26;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
28;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
26;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
29;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
26;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
32;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
24;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
34;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
26;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
26;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
23;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
23;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
27;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
41;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
38;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
32;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
26;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
27;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
24;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
32;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
24;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
25;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
30;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
24;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;UAE-Sharjah
31;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Education;;Higher Diploma;;;GCC
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Scientific;Undergraduate;Palestine Secondary;ABU DHABI;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Scientific;Undergraduate;Al Nouf Girls' School;Sharjah;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;Undergraduate;Rouqaya Sec. Sch. G.;Sharjah;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;Undergraduate;Manar Al Iman Pvt Charity Sch;AJMAN;Nil (No Official Documents)
21;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;Undergraduate;Al-Thumeed Sec.G.;Sharjah;UAE-Sharjah
23;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;Undergraduate;Salma Bint Qais Secondary G;DABA AL HESSEN;UAE-Sharjah
20;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;Undergraduate;Salman Al Farresi Secondary;SHARJAH;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;Undergraduate;Rouqaya Sec. Sch. G.;Sharjah;Nil (No Official Documents)
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;Arabic Language & Literature;Secondary School -Literature;Undergraduate;Undeclared;;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;High School -Scientific;Undergraduate;Dawha School;Sharjah;Non Citizen
22;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;High School -Literature;Undergraduate;Modern American School;AMMAN;Non Citizen
21;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;Undergraduate;Al Ma'arifa Pvt Intr. School;SHARJAH;Non Citizen
21;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Literature;Undergraduate;Palestine Secondary;ABU DHABI;Non Citizen
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;Undergraduate;Fatima Al Zahra' Secondary G.;SHARJAH;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Scientific;Undergraduate;Fatima Al Zahra' Secondary G.;SHARJAH;UAE-Sharjah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;High School -Literature;Undergraduate;Al Itehad Pvt Secondary;DUBAI;UAE-Dubai
18;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;High School -Scientific;Undergraduate;Al Khaleej National Pvt Sch;DUBAI;UAE-Al Fujairah
19;F;Fall 2010-2011;Arts, Humanities & Social Sci.;English Language & Literature;Secondary School -Literature;Undergraduate;Al Reffa'a Secondary G.;SHARJAH;UAE-Sharjah
